player,upload_date,video_id,url,avg_angry,avg_disgust,avg_fear,avg_happy,avg_sad,avg_surprise,avg_neutral,dominant_emotion,frames_analyzed,historical_gmsc_avg,next_game_gmsc
Jordan Poole,2022-03-17 000000,QuIMZM7Oj4o,https://www.youtube.com/watch?v=QuIMZM7Oj4o,5.5737,0.022,36.2736,14.9454,19.7333,1.7491,21.7028,fear,50,11.75,16.7
Jordan Poole,2022-03-13 000000,vCVYxPejarU,https://www.youtube.com/watch?v=vCVYxPejarU,13.0485,0.2296,8.6599,21.0662,17.8192,0.1146,39.0619,neutral,50,11.53,14.7
Jordan Poole,2022-03-09 000000,zijZ9T4DPrc,https://www.youtube.com/watch?v=zijZ9T4DPrc,3.7345,0.0386,39.1317,20.3794,20.1857,1.4058,15.1244,fear,50,11.17,17.5
Jordan Poole,2022-03-08 000000,WHoSoSBwZR8,https://www.youtube.com/watch?v=WHoSoSBwZR8,10.9431,0.0435,33.3607,10.4425,31.897,6.9418,6.3715,fear,49,11.08,16.4
Jordan Poole,2022-03-04 000000,PL3h-GkQiP4,https://www.youtube.com/watch?v=PL3h-GkQiP4,0.0305,0.0008,27.5985,0.0199,56.0935,0.0652,16.1917,sad,50,10.74,18.5
Jordan Poole,2022-02-08 000000,rclXv_ngEeU,https://www.youtube.com/watch?v=rclXv_ngEeU,23.5186,0.0018,32.1987,2.2353,8.7794,4.6475,28.6186,fear,50,10.97,11.8
Jordan Poole,2022-01-30 000000,MlZ4AtvYH9g,https://www.youtube.com/watch?v=MlZ4AtvYH9g,5.7976,0.0015,7.9472,0.1103,42.026,0.1084,44.0089,sad,50,10.84,0.2
Jordan Poole,2022-01-26 000000,n_NKBjyGOWs,https://www.youtube.com/watch?v=n_NKBjyGOWs,31.3588,0.0052,37.82,9.4331,16.4691,2.3749,2.5389,fear,50,10.63,17.0
Jordan Poole,2022-01-24 000000,CHLcHab9Vec,https://www.youtube.com/watch?v=CHLcHab9Vec,64.6176,0.2004,13.675,3.532,4.098,13.4772,0.3998,angry,50,10.53,14.7
Jordan Poole,2022-01-22 000000,wkfz72G7qbY,https://www.youtube.com/watch?v=wkfz72G7qbY,16.114,0.8286,1.4682,8.196,6.0919,0.0221,67.2792,neutral,50,10.45,13.5
Jordan Poole,2022-01-15 000000,Td2oJ61lT8A,https://www.youtube.com/watch?v=Td2oJ61lT8A,1.6432,0.0318,15.0398,4.6551,26.3939,2.2823,49.9539,neutral,50,10.87,11.0
James Harden,2021-11-06 000000,bJYDq-2Ahf0,https://www.youtube.com/watch?v=bJYDq-2Ahf0,44.1002,0.0001,46.7125,7.7027,0.6363,0.1429,0.7053,angry,50,14.92,24.6
Jordan Poole,2022-03-11 000000,4sZElq2lg84,https://www.youtube.com/watch?v=4sZElq2lg84,13.2665,0.0422,61.2306,0.0352,5.919,6.2232,13.2832,fear,50,11.28,26.9
Jordan Poole,2022-02-02 000000,XByaXtbnx4E,https://www.youtube.com/watch?v=XByaXtbnx4E,7.5221,0.0015,7.7827,0.1527,50.2758,0.2004,34.0648,sad,50,10.91,11.1
Jordan Poole,2022-01-04 000000,U09IIRc0PPY,https://www.youtube.com/watch?v=U09IIRc0PPY,4.5921,0.0322,18.1869,12.6394,26.6716,0.4393,37.4384,neutral,50,11.77,1.5
Jordan Poole,2021-12-09 000000,FiSTkDe7pdo,https://www.youtube.com/watch?v=FiSTkDe7pdo,7.3264,0.0393,10.174,39.3544,20.4179,1.1551,21.5329,happy,50,11.69,15.9
Jordan Poole,2021-12-01 000000,Tj-whBWAwBk,https://www.youtube.com/watch?v=Tj-whBWAwBk,6.1612,0.0787,7.0151,11.5464,1.3611,5.7141,68.1234,neutral,50,11.9,5.0
Jordan Poole,2021-11-22 000000,Fh5Bf-nyFdU,https://www.youtube.com/watch?v=Fh5Bf-nyFdU,99.9989,0.0,0.0,0.0011,0.0,0.0,0.0,angry,50,11.49,11.6
Jordan Poole,2021-11-20 000000,hJZQfoshT2A,https://www.youtube.com/watch?v=hJZQfoshT2A,5.672,0.1166,45.9387,2.8468,5.4476,16.2532,23.7252,fear,50,10.66,24.9
Jordan Poole,2021-11-08 000000,3N81G1ORXYA,https://www.youtube.com/watch?v=3N81G1ORXYA,1.7539,0.0072,1.9614,4.1863,7.1411,0.6758,84.2743,neutral,50,11.82,11.7
Jordan Poole,2021-11-04 000000,f0qdjTse_qQ,https://www.youtube.com/watch?v=f0qdjTse_qQ,16.1757,0.5257,3.6956,19.8277,31.3683,0.3183,28.0887,sad,50,9.86,18.0
Jordan Poole,2021-10-25 000000,lURAoTUFlZ0,https://www.youtube.com/watch?v=lURAoTUFlZ0,4.9397,0.0061,40.6546,5.1076,13.98,7.5524,27.7595,fear,50,8.73,8.1
Kevin Durant,2022-04-26 000000,AWTQ77-TS5E,https://www.youtube.com/watch?v=AWTQ77-TS5E,18.2041,0.0519,15.0902,0.0741,16.3163,3.95,46.3134,neutral,50,23.18,
Kevin Durant,2022-04-24 000000,YknKsMulZlk,https://www.youtube.com/watch?v=YknKsMulZlk,46.7757,0.0984,18.4744,0.448,13.1682,13.5704,7.465,angry,50,23.12,26.3
Kevin Durant,2022-04-21 000000,HnGj2NWAhQg,https://www.youtube.com/watch?v=HnGj2NWAhQg,4.484,0.0252,38.3659,2.4543,24.7789,7.9858,21.9058,fear,50,23.29,13.9
Kevin Durant,2022-04-09 000000,W_9PTJlt5JM,https://www.youtube.com/watch?v=W_9PTJlt5JM,7.908,0.0008,26.6889,2.7143,14.1184,2.9813,45.5884,neutral,50,23.84,19.3
Kevin Durant,2022-04-07 000000,8sItmMQK--8,https://www.youtube.com/watch?v=8sItmMQK--8,23.1743,0.0964,14.174,0.8465,48.73,2.5208,10.4581,sad,50,23.75,28.4
Kevin Durant,2022-04-03 000000,UR5iUyZt1Q4,https://www.youtube.com/watch?v=UR5iUyZt1Q4,26.831,0.0213,40.4942,16.5997,4.5117,3.7614,7.7807,fear,50,23.82,15.3
Kevin Durant,2022-04-01 000000,MvbiIfWG8x4,https://www.youtube.com/watch?v=MvbiIfWG8x4,14.6307,0.106,38.5722,0.6528,23.205,7.1294,15.7039,fear,50,23.44,43.0
Kevin Durant,2022-03-30 000000,wnapNy0dKsA,https://www.youtube.com/watch?v=wnapNy0dKsA,12.4454,0.3271,26.8807,9.1884,15.6675,3.5209,31.97,neutral,50,23.53,19.2
Kevin Durant,2022-03-28 000000,Xm4X_iTRqm0,https://www.youtube.com/watch?v=Xm4X_iTRqm0,8.5199,0.0202,22.9926,0.2442,34.0506,6.4255,27.747,sad,50,23.23,37.6
Kevin Durant,2022-03-27 000000,T_g72oV_m28,https://www.youtube.com/watch?v=T_g72oV_m28,16.481,0.0754,26.6506,2.3682,23.2427,3.647,27.535,fear,50,23.29,20.7
Kevin Durant,2022-03-24 000000,wlEBpJRe9IU,https://www.youtube.com/watch?v=wlEBpJRe9IU,11.6272,0.0649,22.1487,7.2545,37.0237,1.4571,20.424,sad,50,23.4,18.3
Kevin Durant,2022-03-22 000000,#NAME?,https://www.youtube.com/watch?v=-RAYX3bN11U,31.714,1.2446,40.5864,2.5612,10.2005,2.3949,11.2984,fear,50,23.3,27.5
Kevin Durant,2022-03-19 000000,A7IkJorh42M,https://www.youtube.com/watch?v=A7IkJorh42M,10.0954,0.0093,5.3995,0.1364,3.2443,70.6432,10.4719,surprise,50,23.11,31.8
Kevin Durant,2022-03-17 000000,50sZu6E8Gh0,https://www.youtube.com/watch?v=50sZu6E8Gh0,15.6869,0.0383,24.6977,0.4137,27.6885,8.0476,23.4272,sad,50,22.98,28.6
Kevin Durant,2022-03-16 000000,bAF0jv9l94Q,https://www.youtube.com/watch?v=bAF0jv9l94Q,4.0956,0.0082,26.49,1.5509,25.7349,4.0074,38.1131,neutral,50,23.14,16.6
